Category,Subcategory,Sub-Subcategory
Appliances,Major Appliances,Refrigerators
Appliances,Major Appliances,Ranges & Cooktops
Appliances,Major Appliances,Dishwashers
Appliances,Major Appliances,Wall Ovens
Appliances,Major Appliances,Microwave Ovens
Appliances,Major Appliances,Range Hoods & Vents
Appliances,Major Appliances,Freezers
Appliances,Laundry,Top-Load Washers
Appliances,Laundry,Front-Load Washers
Appliances,Laundry,Electric Dryers
Appliances,Laundry,Gas Dryers
Appliances,Laundry,Washer & Dryer Sets
Appliances,Laundry,Laundry Accessories
Appliances,Air Conditioning,Window Air Conditioners
Appliances,Air Conditioning,Portable Air Conditioners
Appliances,Air Conditioning,Central Air Conditioners
Appliances,Heating,Electric Space Heaters
Appliances,Heating,Gas Heaters
Appliances,Heating,Heat Pumps
Appliances,Small Appliances,Coffee Makers
Appliances,Small Appliances,Toasters & Toaster Ovens
Appliances,Small Appliances,Blenders
Appliances,Small Appliances,Slow Cookers & Crock Pots
Appliances,Small Appliances,Food Processors
Appliances,Small Appliances,Stand Mixers
Appliances,Small Appliances,Air Fryers
Appliances,Small Appliances,Electric Grills & Griddles
Appliances,Small Appliances,Juicers
Appliances,Small Appliances,Electric Kettles
Appliances,Vacuums & Floor Care,Upright Vacuums
Appliances,Vacuums & Floor Care,Stick Vacuums
Appliances,Vacuums & Floor Care,Canister Vacuums
Appliances,Vacuums & Floor Care,Robot Vacuums
Appliances,Vacuums & Floor Care,Handheld Vacuums
Appliances,Vacuums & Floor Care,Steam Mops
Tools & Hardware,Power Tools,Drills & Drivers
Tools & Hardware,Power Tools,Circular Saws
Tools & Hardware,Power Tools,Jigsaws & Reciprocating Saws
Tools & Hardware,Power Tools,Sanders
Tools & Hardware,Power Tools,Rotary Tools
Tools & Hardware,Power Tools,Air Compressors
Tools & Hardware,Power Tools,Nail Guns & Staplers
Tools & Hardware,Power Tools,Angle Grinders
Tools & Hardware,Hand Tools,Screwdrivers
Tools & Hardware,Hand Tools,Hammers & Mallets
Tools & Hardware,Hand Tools,Wrenches & Sockets
Tools & Hardware,Hand Tools,Pliers & Cutters
Tools & Hardware,Hand Tools,Tool Sets & Combo Kits
