"product_type","category"
"Vehicle Rotors","Vehicles, Parts & Accessories"
"Automotive Specialty Parts","Vehicles, Parts & Accessories"
"Automotive Floor Mats","Vehicles, Parts & Accessories"
"Automotive Window Shades","Vehicles, Parts & Accessories"
"Automotive Grilles","Vehicles, Parts & Accessories"
"Automotive Steps","Vehicles, Parts & Accessories"
"Automotive Push Bars","Vehicles, Parts & Accessories"
"Exterior Automotive Accessories","Vehicles, Parts & Accessories"
"Automotive Battery Chargers","Vehicles, Parts & Accessories"
"Motorized Dirt Bikes","Vehicles, Parts & Accessories"
"Automotive Replacement Belts","Vehicles, Parts & Accessories"
"Cigarette Lighter Adapters","Vehicles, Parts & Accessories"
"Motorcycle Accessories","Vehicles, Parts & Accessories"
"Vehicle Clutches","Vehicles, Parts & Accessories"
"RV Parts","Vehicles, Parts & Accessories"
"Brake System Replacement Parts & Hardware","Vehicles, Parts & Accessories"
"Truck Tonneau Covers","Vehicles, Parts & Accessories"
"Automotive Shock Absorbers","Vehicles, Parts & Accessories"
"RV Wheel Covers","Vehicles, Parts & Accessories"
"Automotive Hitch & Towing Parts & Sets","Vehicles, Parts & Accessories"
"Lug Nuts","Vehicles, Parts & Accessories"
"Automotive Pigtails & Sockets","Vehicles, Parts & Accessories"
"Automotive Electrical Parts & Accessories","Vehicles, Parts & Accessories"
"Automotive Fog Lights","Vehicles, Parts & Accessories"
"Automotive Hitch Ball Mounts","Vehicles, Parts & Accessories"
"Automotive Cleaners, Polishes & Waxes","Vehicles, Parts & Accessories"
"Vehicle Alternators","Vehicles, Parts & Accessories"
"Automotive Body Paint","Vehicles, Parts & Accessories"
"Spark Plug Wires","Vehicles, Parts & Accessories"
"RV Accessories","Vehicles, Parts & Accessories"
"RV Sewer System Accessories","Vehicles, Parts & Accessories"
"Vehicle Mufflers","Vehicles, Parts & Accessories"
"Jack Stands","Vehicles, Parts & Accessories"
"Automotive Tire Covers","Vehicles, Parts & Accessories"
"Automotive Decorative Interior Hardware & Accessories","Vehicles, Parts & Accessories"
"Automotive Rack Load Bars","Vehicles, Parts & Accessories"
"Suspension Control Arms","Vehicles, Parts & Accessories"
"Automotive Coil Springs","Vehicles, Parts & Accessories"
"Lug Bolts","Vehicles, Parts & Accessories"
"Tow Straps","Vehicles, Parts & Accessories"
"Oil Pan Gaskets","Vehicles, Parts & Accessories"
"Automotive Radiator Repair Parts & Hardware","Vehicles, Parts & Accessories"
"Tires","Vehicles, Parts & Accessories"
"Automotive Exterior Decorative Lights","Vehicles, Parts & Accessories"
"Towing Mirrors","Vehicles, Parts & Accessories"
"Rearview Mirrors","Vehicles, Parts & Accessories"
"Car Electronics Installation Kits","Vehicles, Parts & Accessories"
"Automotive Rims","Vehicles, Parts & Accessories"
"Automotive Distributor Caps","Vehicles, Parts & Accessories"
"Suspension Leveling Kits","Vehicles, Parts & Accessories"
"Headlights","Vehicles, Parts & Accessories"
"Tail Lights","Vehicles, Parts & Accessories"
"Automotive Light Lenses","Vehicles, Parts & Accessories"
"Automotive Fluid Change Pumps & Drains","Vehicles, Parts & Accessories"
"Automotive Diagnostic Tools","Vehicles, Parts & Accessories"
"Suspension Lift Kits","Vehicles, Parts & Accessories"
"Automotive Seat Covers","Vehicles, Parts & Accessories"
"Automotive Brush & Grille Guards","Vehicles, Parts & Accessories"
"Automotive Light Bulbs","Vehicles, Parts & Accessories"
"Vehicle Brake Pads","Vehicles, Parts & Accessories"
"Wheel Bearings","Vehicles, Parts & Accessories"
"Intake Manifold Gaskets","Vehicles, Parts & Accessories"
"Cylinder Head Gaskets","Vehicles, Parts & Accessories"
"Automotive Brakes","Vehicles, Parts & Accessories"
"Seat Belt Pads","Vehicles, Parts & Accessories"
"Brake Shoes, Pads & Drums","Vehicles, Parts & Accessories"
"Automotive Interior Lights","Vehicles, Parts & Accessories"
"Fuel Injection Accessories & Parts","Vehicles, Parts & Accessories"
"Wiring Connectors & Kits","Vehicles, Parts & Accessories"
"Automotive Valve Stems & Caps","Vehicles, Parts & Accessories"
"Mini Bikes","Vehicles, Parts & Accessories"
"Motor Oil","Vehicles, Parts & Accessories"
"Automotive Wiper Blades","Vehicles, Parts & Accessories"
"Automotive Air Fresheners","Vehicles, Parts & Accessories"
"Automotive Handles & Cranks","Vehicles, Parts & Accessories"
"Engine Air Filters","Vehicles, Parts & Accessories"
"Automotive Gaskets","Vehicles, Parts & Accessories"
"Automotive Touch-Up Paints","Vehicles, Parts & Accessories"
"Tire Pumps","Vehicles, Parts & Accessories"
"Tire Replacement Tools & Kits","Vehicles, Parts & Accessories"
"Automotive Creepers","Vehicles, Parts & Accessories"
